Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
Static Function,"Actual_Hue",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\perception\detection\packages\road_wizard\nodes\region_tlr\TrafficLightDetector.h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,0.00,
Static Function,"Actual_Sat",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\perception\detection\packages\road_wizard\nodes\region_tlr\TrafficLightDetector.h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,0.00,
Static Function,"Actual_Val",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\perception\detection\packages\road_wizard\nodes\region_tlr\TrafficLightDetector.h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,0.00,
Function,"AddQueue",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\drivers\imu\packages\memsic\nodes\vg440\vg440_node.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,0,16,2,9,1,0,0,4,7,8,1,0,7,2,,,1,,0.06,
Struct,"Area",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\data\packages\map_file\nodes\points_map_loader\points_map_loader.cpp,0,0,0,0,0,,,,,0,0,0,,0,0,,,,,6,7,0,0,7,0,0,0,0,0,0,0,,9,0,9,1,0,0,0,0,,,7,7,0,0,,0,0,0,0,0.00,0
Struct,"Area",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\util\packages\map_tools\nodes\pcd_arealist\pcd_arealist.cpp,0,0,0,0,0,,,,,0,0,0,,0,0,,,,,5,7,0,0,7,0,0,0,0,0,0,0,,9,0,9,1,0,0,0,0,,,7,7,0,0,,0,0,0,0,0.00,0
Struct,"AreaClass",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\util\packages\sample_data\nodes\sample_vector_map\sample_vector_map.cpp,0,0,0,0,0,,,,,0,0,0,,0,0,,,,,0,3,0,0,3,0,0,0,0,0,0,0,,5,0,5,1,0,0,0,0,,,3,3,0,0,,0,0,0,0,0.00,0
Struct,"AreaClass",D:\download\autoware-1.0.0\autoware-1.0.0\ui\oculus\ofw\src\vector_map.h,0,0,0,0,0,,,,,0,0,0,,0,0,,,,,3,3,0,0,3,0,0,0,0,0,0,0,,5,0,5,1,0,0,0,0,,,3,3,0,0,,0,0,0,0,0.00,0
Struct,"AstarNode",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\include\astar_util.h,0,0,0,0,0,,,,,0,0,0,,0,0,,,,,0,9,0,0,9,0,0,0,0,0,0,0,,10,0,10,1,0,7,0,0,,,9,9,0,0,,0,0,0,0,0.70,0
Class,"AstarSearch",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.h,32,5,22,5,3,,,,,0,4,0,,0,0,,,,,22,28,14,0,14,21,21,0,0,12,0,9,,711,105,501,114,146,108,7,2,,,264,143,2,132,,7,0,4,98,0.22,51
Public Function,"AstarSearch::AstarSearch",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,1,21,1,2,0,0,0,3,17,2,1,0,1,1,,,0,,0.00,
Public Function,"AstarSearch::broadcastPathTF",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,4,12,4,3,2,0,0,0,9,7,3,0,4,2,,,1,,0.17,
Private Function,"AstarSearch::calcWaveFrontHeuristic",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,67,11,44,12,8,12,0,0,4,23,15,11,0,6,2,,,1,,0.27,
Private Function,"AstarSearch::createStateUpdateTable",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,12,71,12,45,15,0,0,10,66,50,11,0,41,4,,,2,,0.21,
Private Function,"AstarSearch::detectCollision",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,35,5,25,16,18,5,0,0,4,20,24,15,0,11,5,,,3,,0.20,
Private Function,"AstarSearch::detectCollisionWaveFront",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,4,17,8,8,1,0,0,2,12,16,7,2,7,5,,,3,,0.06,
Public Function,"AstarSearch::getPath",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,,,0,,0.00,
Private Function,"AstarSearch::isGoal",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,3,11,4,5,6,0,0,2,5,7,3,0,4,3,,,2,,0.55,
Private Function,"AstarSearch::isOutOfRange",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,1,6,1,3,0,0,0,1,2,3,0,0,3,2,,,1,,0.00,
Public Function,"AstarSearch::makePlan",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,5,16,2,8,0,0,0,4,9,8,1,0,8,3,,,1,,0.00,
Public Function,"AstarSearch::poseToIndex",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,2,13,4,2,1,0,0,1,9,5,3,0,2,1,,,0,,0.08,
